timestamp,marker_id,x_base,y_base,z_base
853.410000,0,0.437953,0.121413,0.231595
853.476000,10,0.353972,0.067599,0.211811
853.476000,8,0.392103,0.013351,0.206848
853.476000,9,0.353489,0.117909,0.208463
853.476000,7,0.385396,0.069253,0.217306
853.476000,5,0.421997,0.016403,0.215676
853.476000,6,0.381572,0.118770,0.217316
853.476000,4,0.413833,0.070431,0.224844
853.476000,3,0.410219,0.120426,0.224282
853.476000,1,0.442694,0.072323,0.231150
853.476000,0,0.439401,0.122769,0.229781
853.517000,10,0.353700,0.065901,0.210942
853.517000,8,0.391606,0.011678,0.206859
853.517000,9,0.353068,0.116269,0.208083
853.517000,7,0.385172,0.067613,0.216619
853.517000,5,0.421516,0.014746,0.215630
853.517000,6,0.381383,0.118096,0.217136
853.517000,4,0.413638,0.069763,0.224730
853.517000,3,0.410491,0.120864,0.223427
853.517000,1,0.442708,0.072452,0.231173
853.517000,0,0.439409,0.122899,0.229821
853.574000,10,0.353239,0.065726,0.212939
853.574000,8,0.403002,-0.006186,0.167498
853.574000,9,0.352987,0.115881,0.208019
853.574000,7,0.382492,0.067266,0.217249
853.574000,5,0.421011,0.014558,0.215776
853.574000,6,0.381544,0.117622,0.216414
853.574000,4,0.413219,0.069548,0.225182
853.574000,3,0.410334,0.119651,0.222780
853.574000,1,0.442399,0.071407,0.230928
853.574000,0,0.437997,0.121649,0.231673
853.614000,10,0.354042,0.066619,0.211209
853.614000,8,0.391878,0.012630,0.206435
853.614000,9,0.353269,0.117147,0.208318
853.614000,7,0.385139,0.068446,0.216410
853.614000,5,0.421460,0.015948,0.215933
853.614000,6,0.381826,0.118915,0.216726
853.614000,4,0.413427,0.070899,0.225660
853.614000,3,0.410619,0.120981,0.223105
853.614000,1,0.442584,0.072798,0.231419
853.614000,0,0.438238,0.122722,0.231927
853.674000,10,0.362917,0.053783,0.154892
853.674000,8,0.389330,0.011760,0.207246
853.674000,9,0.352928,0.116075,0.208628
853.674000,7,0.384417,0.067640,0.218411
853.674000,5,0.421338,0.014288,0.215519
853.674000,6,0.381634,0.117908,0.216485
853.674000,4,0.414102,0.069292,0.223376
